Nucleotide,Replicate,Time,Mature_RISC,Pre_RISC
A,1,0,0.241134391,1.668691894
A,1,15,0.307703411,1.639300247
A,1,30,0.495827828,1.206737995
A,1,60,0.756013016,0.995237395
A,1,90,0.843960041,0.885382685
A,1,120,0.822515092,0.856747043
U,1,0,0.392774935,2.074949835
U,1,15,0.351850832,1.810122054
U,1,30,0.530216074,1.428968954
U,1,60,0.813896304,1.146908087
U,1,90,0.893299666,1.055118288
U,1,120,0.939030634,1.096956236
A6,1,0,0.329567645,1.759363388
A6,1,15,0.454751492,1.856126427
A6,1,30,0.713775848,1.565718981
A6,1,60,0.905109212,1.150317
A6,1,90,0.974952229,0.981631604
A6,1,120,1,1
G,1,0,0.308940279,2.111608271
G,1,15,0.272158343,1.930129969
G,1,30,0.310843832,1.319961158
G,1,60,0.459508066,1.012025814
G,1,90,0.573454616,0.9540071
G,1,120,0.588460719,0.897898675
A,2,0,0.254543361,1.61910746
A,2,15,0.313007323,1.58715869
A,2,30,0.546000881,1.245596446
A,2,60,0.795929594,0.970250824
A,1,90,0.916032158,0.938159201
A,1,120,0.936734311,1.01931789
U,1,0,0.387058583,2.176865942
U,1,15,0.354631656,1.959437318
U,1,30,0.530367831,1.395742097
U,1,60,0.824402861,1.203275621
U,1,90,0.885656313,1.026384521
U,1,120,0.925896268,1.064989221
A6,1,0,0.347341688,2.013725814
A6,1,15,0.48184284,1.958800879
A6,1,30,0.697818475,1.489973445
A6,1,60,0.913779369,1.103950981
A6,1,90,1.021409547,1.014890468
A6,1,120,1,1
G,1,0,0.351427606,2.133931626
G,1,15,0.308893129,1.883239496
G,1,30,0.330595382,1.184095156
G,1,60,0.41810996,0.979594311
G,1,90,0.568452937,0.763375091
G,1,120,0.606864293,0.63236447
A,1,0,0.226266942,2.826355439
A,1,15,0.332463386,2.614406115
A,1,30,0.562309282,1.678862064
A,1,60,0.931566538,1.303800285
A,2,90,0.992349611,1.09577974
A,2,120,0.890982309,0.972014982
U,2,0,0.326940511,2.976191556
U,2,15,0.296181602,2.53242023
U,1,30,0.557190502,1.956255332
U,1,60,0.86407161,1.434579939
U,1,90,1.032003827,1.338366792
U,1,120,0.98378437,1.301735197
A6,1,0,0.249890703,2.563172291
A6,1,15,0.331759866,2.019919101
A6,1,30,0.651578132,1.711706655
A6,1,60,0.933255541,1.302828653
A6,1,90,1.066095701,1.142528803
A6,1,120,1,1
G,1,0,0.234539801,2.610477458
G,1,15,0.1893833,2.293568942
G,1,30,0.258840697,1.594926415
G,1,60,0.468104717,1.20832833
G,1,90,0.586590685,1.052494901
G,1,120,0.443510658,0.657480848
